"Date","Day","People Tested ","Cases ","Deaths ","Hospitalizations ","death rate "
"03/14/2020","Saturday",142,31,0,11,0
"03/01/2020","Sunday",1,0,0,2,0
"07/14/2020","Tuesday",6345,322,3,19,0.000472813238770686
"03/16/2020","Monday",426,78,1,17,0.00234741784037559
"03/05/2020","Thursday",17,1,0,6,0
"07/04/2020","Saturday",1008,62,5,13,0.00496031746031746
"06/09/2020","Tuesday",4504,255,23,25,0.00510657193605684
"07/27/2020","Monday",5998,364,1,15,0.000166722240746916
"09/12/2020","Saturday",2326,135,0,9,0
"03/31/2020","Tuesday",1376,488,16,160,0.0116279069767442
"05/24/2020","Sunday",2096,280,27,70,0.012881679389313
"06/07/2020","Sunday",1439,110,20,27,0.0138985406532314
"04/21/2020","Tuesday",2766,870,36,167,0.0130151843817787
"06/02/2020","Tuesday",2905,246,25,38,0.00860585197934595
"08/10/2020","Monday",5395,378,2,18,0.000370713623725672
"05/01/2020","Friday",4102,1171,39,137,0.00950755728912725
"05/29/2020","Friday",4687,462,20,40,0.00426712182632814
"05/15/2020","Friday",5315,972,48,79,0.0090310442144873
"06/22/2020","Monday",4620,220,9,26,0.00194805194805195
"04/17/2020","Friday",2599,774,43,147,0.0165448249326664
"07/22/2020","Wednesday",5368,368,4,20,0.000745156482861401
"04/14/2020","Tuesday",2121,663,33,172,0.0155586987270156
"06/06/2020","Saturday",2235,170,20,31,0.00894854586129754
"03/10/2020","Tuesday",72,11,0,8,0
"03/03/2020","Tuesday",33,0,0,3,0
"07/18/2020","Saturday",2599,134,4,12,0.0015390534821085
"04/30/2020","Thursday",4273,1273,40,166,0.00936110461034402
"07/11/2020","Saturday",2870,155,2,17,0.000696864111498258
"04/19/2020","Sunday",1383,460,35,159,0.0253073029645698
"07/20/2020","Monday",6189,390,5,17,0.000807884957182097
"08/13/2020","Thursday",4865,391,4,19,0.000822199383350463
"09/14/2020","Monday",4563,423,3,16,0.000657462195923734
"09/05/2020","Saturday",2166,199,4,18,0.00184672206832872
"07/17/2020","Friday",6116,324,3,19,0.000490516677567037
"04/16/2020","Thursday",2387,680,30,154,0.0125680770842061
"07/13/2020","Monday",6682,335,3,25,0.000448967375037414
"04/08/2020","Wednesday",1825,704,36,173,0.0197260273972603
"09/11/2020","Friday",4295,336,5,17,0.00116414435389988
"04/06/2020","Monday",1647,583,22,202,0.013357619914997
"06/12/2020","Friday",4395,247,21,19,0.00477815699658703
"06/17/2020","Wednesday",4083,220,21,22,0.00514327700220426
"06/23/2020","Tuesday",4962,232,8,19,0.00161225312374043
"07/23/2020","Thursday",4826,315,2,25,0.000414421881475342
"08/27/2020","Thursday",4685,371,2,17,0.000426894343649947
"09/16/2020","Wednesday",4043,366,4,25,0.00098936433341578
"08/30/2020","Sunday",1800,101,4,18,0.00222222222222222
"03/04/2020","Wednesday",43,0,0,4,0
"07/05/2020","Sunday",1697,88,3,12,0.00176782557454331
"07/31/2020","Friday",6050,393,2,14,0.000330578512396694
"06/24/2020","Wednesday",4721,244,9,23,0.0019063757678458
"03/24/2020","Tuesday",1244,350,2,122,0.00160771704180064
"06/11/2020","Thursday",3818,203,10,23,0.00261917234154007
"05/18/2020","Monday",5546,946,33,85,0.00595023440317346
"09/19/2020","Saturday",2305,166,2,13,0.000867678958785249
"08/15/2020","Saturday",3141,222,5,14,0.00159184972938555
"09/27/2020","Sunday",1809,148,1,21,0.000552791597567717
"04/11/2020","Saturday",1256,398,33,142,0.0262738853503185
"05/11/2020","Monday",4516,1014,38,114,0.00841452612931798
"07/25/2020","Saturday",2921,159,8,15,0.00273878808627182
"08/03/2020","Monday",6021,426,3,24,0.00049825610363727
"07/12/2020","Sunday",1733,97,4,13,0.00230813618003462
"08/18/2020","Tuesday",5376,393,1,10,0.000186011904761905
"05/22/2020","Friday",4687,725,35,70,0.00746746319607425
"05/25/2020","Monday",1577,252,23,60,0.0145846544071021
"06/01/2020","Monday",2367,236,21,51,0.00887198986058302
"07/02/2020","Thursday",5198,254,6,19,0.00115429011158138
"04/15/2020","Wednesday",2103,630,31,147,0.0147408464098906
"09/26/2020","Saturday",2753,232,4,15,0.00145296040682891
"08/08/2020","Saturday",2757,177,3,11,0.00108813928182807
"03/07/2020","Saturday",13,3,0,3,0
"03/12/2020","Thursday",93,21,0,8,0
"09/28/2020","Monday",5340,415,2,19,0.000374531835205993
"05/13/2020","Wednesday",4124,876,45,95,0.0109117361784675
"03/28/2020","Saturday",793,250,4,132,0.00504413619167718
"05/10/2020","Sunday",1457,307,39,94,0.0267673301304049
"09/15/2020","Tuesday",4464,349,1,14,0.000224014336917563
"04/25/2020","Saturday",2195,634,38,115,0.0173120728929385
"09/08/2020","Tuesday",4688,367,1,16,0.000213310580204778
"05/26/2020","Tuesday",5847,753,23,54,0.00393364118351291
"05/20/2020","Wednesday",5125,770,29,70,0.00565853658536585
"04/26/2020","Sunday",1499,434,51,127,0.0340226817878586
"08/09/2020","Sunday",1901,115,2,11,0.00105207785376118
"03/19/2020","Thursday",915,184,2,39,0.00218579234972678
"04/28/2020","Tuesday",4219,1322,56,174,0.0132732875088884
"04/03/2020","Friday",1558,467,24,163,0.0154043645699615
"03/09/2020","Monday",64,5,0,3,0
"07/24/2020","Friday",5537,345,3,19,0.000541809644211667
"06/14/2020","Sunday",1560,92,12,21,0.00769230769230769
"06/05/2020","Friday",3920,337,17,33,0.00433673469387755
"10/05/2020","Monday",5332,525,1,10,0.00018754688672168
"05/12/2020","Tuesday",4416,943,46,104,0.0104166666666667
"04/05/2020","Sunday",823,292,26,146,0.031591737545565
"09/20/2020","Sunday",2030,103,6,13,0.00295566502463054
"07/07/2020","Tuesday",5861,344,4,22,0.000682477392936359
"03/08/2020","Sunday",45,3,0,9,0
"07/09/2020","Thursday",4604,288,7,27,0.00152041702867072
"05/08/2020","Friday",4365,924,44,92,0.0100801832760596
"06/20/2020","Saturday",2279,124,10,16,0.00438788942518649
"05/14/2020","Thursday",3907,776,45,99,0.0115177885845918
"05/30/2020","Saturday",2394,239,21,41,0.0087719298245614
"03/26/2020","Thursday",1335,413,2,136,0.00149812734082397
"04/01/2020","Wednesday",1349,459,24,183,0.0177909562638992
